tensor(1.5774, device='cuda:0', grad_fn=<NllLossBackward>) 24.0 tensor(1.4782, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.5766, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.5581, device='cuda:0', grad_fn=<NllLossBackward>) 52.0
tensor(1.5274, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.5139, device='cuda:0', grad_fn=<NllLossBackward>) 28.0
tensor(1.5425, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.5744, device='cuda:0', grad_fn=<NllLossBackward>) 16.0
tensor(1.5453, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.5510, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.5554, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.5647, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.5609, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.5391, device='cuda:0', grad_fn=<NllLossBackward>) 32.0
tensor(1.5660, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.5421, device='cuda:0', grad_fn=<NllLossBackward>) 52.0
tensor(1.5416, device='cuda:0', grad_fn=<NllLossBackward>) 44.0 tensor(1.5268, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.4486, device='cuda:0', grad_fn=<NllLossBackward>) 48.0 tensor(1.4997, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.6015, device='cuda:0', grad_fn=<NllLossBackward>) 20.0 tensor(1.5317, device='cuda:0', grad_fn=<NllLossBackward>) 32.0
tensor(1.5440, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.5410, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.5574, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.5212, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.4951, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.4814, device='cuda:0', grad_fn=<NllLossBackward>) 52.0
tensor(1.5189, device='cuda:0', grad_fn=<NllLossBackward>) 44.0 tensor(1.5319, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.4800, device='cuda:0', grad_fn=<NllLossBackward>) 60.0 tensor(1.5807, device='cuda:0', grad_fn=<NllLossBackward>) 32.0
tensor(1.5862, device='cuda:0', grad_fn=<NllLossBackward>) 20.0 tensor(1.5093, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.5764, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.5310, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.5444, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.5232, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.5538, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.5020, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.5420, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.4989, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.5408, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.5070, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.5397, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.5405, device='cuda:0', grad_fn=<NllLossBackward>) 36.0
tensor(1.5297, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.4943, device='cuda:0', grad_fn=<NllLossBackward>) 36.0
tensor(1.5063, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.4625, device='cuda:0', grad_fn=<NllLossBackward>) 52.0
tensor(1.4506, device='cuda:0', grad_fn=<NllLossBackward>) 56.0 tensor(1.4251, device='cuda:0', grad_fn=<NllLossBackward>) 68.0
tensor(1.4709, device='cuda:0', grad_fn=<NllLossBackward>) 52.0 tensor(1.4979, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.4727, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.4838, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.4820, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.4744, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.3218, device='cuda:0', grad_fn=<NllLossBackward>) 68.0 tensor(1.3410, device='cuda:0', grad_fn=<NllLossBackward>) 52.0
tensor(1.4860, device='cuda:0', grad_fn=<NllLossBackward>) 44.0 tensor(1.4742, device='cuda:0', grad_fn=<NllLossBackward>) 60.0
tensor(1.3893, device='cuda:0', grad_fn=<NllLossBackward>) 48.0 tensor(1.4576, device='cuda:0', grad_fn=<NllLossBackward>) 56.0
tensor(1.2845, device='cuda:0', grad_fn=<NllLossBackward>) 64.0 tensor(1.3731, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.3824, device='cuda:0', grad_fn=<NllLossBackward>) 52.0 tensor(1.2679, device='cuda:0', grad_fn=<NllLossBackward>) 68.0
tensor(1.4055, device='cuda:0', grad_fn=<NllLossBackward>) 56.0 tensor(1.4111, device='cuda:0', grad_fn=<NllLossBackward>) 60.0
tensor(1.2946, device='cuda:0', grad_fn=<NllLossBackward>) 76.0 tensor(1.3333, device='cuda:0', grad_fn=<NllLossBackward>) 64.0
tensor(1.3570, device='cuda:0', grad_fn=<NllLossBackward>) 64.0 tensor(1.3576, device='cuda:0', grad_fn=<NllLossBackward>) 68.0
tensor(1.3429, device='cuda:0', grad_fn=<NllLossBackward>) 64.0 tensor(1.2810, device='cuda:0', grad_fn=<NllLossBackward>) 72.0
tensor(1.1967, device='cuda:0', grad_fn=<NllLossBackward>) 60.0 tensor(1.1788, device='cuda:0', grad_fn=<NllLossBackward>) 72.0
tensor(1.2613, device='cuda:0', grad_fn=<NllLossBackward>) 76.0 tensor(1.3398, device='cuda:0', grad_fn=<NllLossBackward>) 60.0
tensor(1.3104, device='cuda:0', grad_fn=<NllLossBackward>) 68.0 tensor(1.3223, device='cuda:0', grad_fn=<NllLossBackward>) 72.0
tensor(1.3935, device='cuda:0', grad_fn=<NllLossBackward>) 64.0 tensor(1.2834, device='cuda:0', grad_fn=<NllLossBackward>) 76.0
tensor(1.2653, device='cuda:0', grad_fn=<NllLossBackward>) 68.0 tensor(1.3355, device='cuda:0', grad_fn=<NllLossBackward>) 60.0
tensor(1.3154, device='cuda:0', grad_fn=<NllLossBackward>) 68.0 tensor(1.2668, device='cuda:0', grad_fn=<NllLossBackward>) 68.0
tensor(1.2478, device='cuda:0', grad_fn=<NllLossBackward>) 60.0 tensor(1.3838, device='cuda:0', grad_fn=<NllLossBackward>) 56.0
tensor(1.3004, device='cuda:0', grad_fn=<NllLossBackward>) 72.0 tensor(1.2610, device='cuda:0', grad_fn=<NllLossBackward>) 80.0
tensor(1.2902, device='cuda:0', grad_fn=<NllLossBackward>) 72.0 tensor(1.2540, device='cuda:0', grad_fn=<NllLossBackward>) 80.0
tensor(1.3143, device='cuda:0', grad_fn=<NllLossBackward>) 60.0 tensor(1.2556, device='cuda:0', grad_fn=<NllLossBackward>) 88.0
tensor(1.2863, device='cuda:0', grad_fn=<NllLossBackward>) 60.0 tensor(1.1983, device='cuda:0', grad_fn=<NllLossBackward>) 76.0
tensor(1.3198, device='cuda:0', grad_fn=<NllLossBackward>) 72.0 tensor(1.2683, device='cuda:0', grad_fn=<NllLossBackward>) 88.0
tensor(1.2615, device='cuda:0', grad_fn=<NllLossBackward>) 72.0 tensor(1.2413, device='cuda:0', grad_fn=<NllLossBackward>) 68.0
tensor(1.2959, device='cuda:0', grad_fn=<NllLossBackward>) 64.0 tensor(1.1722, device='cuda:0', grad_fn=<NllLossBackward>) 76.0
tensor(1.3070, device='cuda:0', grad_fn=<NllLossBackward>) 72.0 tensor(1.3370, device='cuda:0', grad_fn=<NllLossBackward>) 68.0
tensor(1.1935, device='cuda:0', grad_fn=<NllLossBackward>) 72.0 tensor(1.2118, device='cuda:0', grad_fn=<NllLossBackward>) 76.0
tensor(1.2935, device='cuda:0', grad_fn=<NllLossBackward>) 72.0 tensor(1.2296, device='cuda:0', grad_fn=<NllLossBackward>) 76.0
tensor(1.3113, device='cuda:0', grad_fn=<NllLossBackward>) 64.0 tensor(1.2207, device='cuda:0', grad_fn=<NllLossBackward>) 76.0
tensor(1.2699, device='cuda:0', grad_fn=<NllLossBackward>) 64.0 tensor(1.1882, device='cuda:0', grad_fn=<NllLossBackward>) 80.0
